Title,Price,List Price,Delivery
Apple iPhone 15 128GB Black,"Special Price R 17,999","Regular Price R 19,999",N/A
Apple iPhone 15 Pro 128GB Black Titanium,"Special Price R 24,499","Regular Price R 25,799",N/A
Apple iPhone 15 Pro Max 256GB Natural Titanium,"Special Price R 29,999","Regular Price R 31,499",N/A
Apple iPhone 15 Pro Max 256GB Black Titanium,"Special Price R 29,999","Regular Price R 31,499",N/A
Apple iPhone 15 Pro Max 512GB Black Titanium,"Special Price R 34,999","Regular Price R 36,999",N/A
Apple iPhone 15 Pro 256GB Natural Titanium,"Special Price R 26,999","Regular Price R 28,599",N/A
Apple iPhone 15 Plus 256GB Pink,"Special Price R 24,999","Regular Price R 25,799",N/A
Apple iPhone 15 Pro Max 512GB Blue Titanium,"Special Price R 34,999","Regular Price R 36,999",N/A
Apple iPhone 15 Pro 256GB White Titanium,"Special Price R 26,999","Regular Price R 28,599",N/A
Apple iPhone 15 Pro Max 256GB Blue Titanium,"Special Price R 29,999","Regular Price R 31,499",N/A
Apple iPhone 15 Plus 128GB Black,N/A,N/A,N/A
Apple iPhone 15 Pro 256GB Blue Titanium,"Special Price R 26,999","Regular Price R 28,599",N/A
Apple iPhone 15 Plus 128GB Green,N/A,N/A,N/A
Apple iPhone 15 Plus 256GB Black,N/A,N/A,N/A
Apple iPhone 15 Pro 512GB White Titanium,"Special Price R 32,999","Regular Price R 34,199",N/A
Apple iPhone 15 Pro 512GB Black Titanium,"Special Price R 32,999","Regular Price R 34,199",N/A
Apple iPhone 15 Pro 512GB Natural Titanium,"Special Price R 32,999","Regular Price R 34,199",N/A
Apple iPhone 15 512GB Blue,"Special Price R 27,999","Regular Price R 28,599",N/A
Apple iPhone 15 256GB Green,"Special Price R 22,599","Regular Price R 22,999",N/A
Apple iPhone 15 256GB Black,"Special Price R 22,599","Regular Price R 22,999",N/A
Apple iPhone 15 256GB Blue,"Special Price R 22,599","Regular Price R 22,999",N/A
Apple iPhone 15 512GB Green,"Special Price R 27,999","Regular Price R 28,599",N/A
Apple iPhone 15 256GB Pink,"Special Price R 22,599","Regular Price R 22,999",N/A
Apple iPhone 15 512GB Black,"Special Price R 27,999","Regular Price R 28,599",N/A
Apple iPhone 15 512GB Pink,"Special Price R 27,999","Regular Price R 28,599",N/A
Apple iPhone 15 256GB Yellow,"Special Price R 22,599","Regular Price R 22,999",N/A
Apple iPhone 15 512GB Yellow,"Special Price R 27,999","Regular Price R 28,599",N/A
Apple iPhone 11 64GB Black,"Special Price R 9,999","Regular Price R 10,999",N/A
Apple iPhone 11 128GB Black,"Special Price R 12,599","Regular Price R 12,999",N/A
Apple iPhone 13 128GB Midnight,N/A,N/A,N/A
Apple iPhone 12 64GB Black,"Special Price R 11,999","Regular Price R 12,999",N/A
Apple iPhone 15 128GB Black,"Special Price R 17,999","Regular Price R 19,999",N/A
Apple iPhone 15 Pro 128GB Black Titanium,"Special Price R 24,499","Regular Price R 25,799",N/A
Apple iPhone 15 Pro Max 256GB Natural Titanium,"Special Price R 29,999","Regular Price R 31,499",N/A
Apple iPhone 15 Pro Max 256GB Black Titanium,"Special Price R 29,999","Regular Price R 31,499",N/A
Apple iPhone 14 128GB Midnight,"Special Price R 16,999","Regular Price R 17,999",N/A
Apple iPhone 15 Pro Max 512GB Black Titanium,"Special Price R 34,999","Regular Price R 36,999",N/A
Apple iPhone 8 64GB Silver Pre-Owned,N/A,N/A,N/A
Apple iPhone XR 64GB White Pre Owned,N/A,N/A,N/A
Apple iPhone 15 Pro 256GB Natural Titanium,"Special Price R 26,999","Regular Price R 28,599",N/A
Apple iPhone 11 64GB Pre Owned Black,N/A,N/A,N/A
Apple iPhone XR 64GB Black Pre Own,N/A,N/A,N/A
Apple iPhone 11 Pro 256GB Space Grey Pre Owned,"Special Price R 10,999","Regular Price R 11,799",N/A
Apple iPhone 15 Plus 256GB Pink,"Special Price R 24,999","Regular Price R 25,799",N/A
Apple iPhone 15 Pro Max 512GB Blue Titanium,"Special Price R 34,999","Regular Price R 36,999",N/A
Apple iPhone 15 Pro 256GB White Titanium,"Special Price R 26,999","Regular Price R 28,599",N/A
Apple iPhone 15 Pro Max 256GB Blue Titanium,"Special Price R 29,999","Regular Price R 31,499",N/A
Apple iPhone 15 Plus 128GB Black,N/A,N/A,N/A
Apple iPhone 13 Pro 128GB Graphite,"Special Price R 18,999","Regular Price R 23,499",N/A
Apple iPhone 15 Pro 256GB Blue Titanium,"Special Price R 26,999","Regular Price R 28,599",N/A
Apple MacBook Air 13-Inch With M1 Processor 7 Core GPU 256GB Space Grey,"R 16,999",N/A,N/A
Apple MacBook Air 13 M3 8 Core CPU and 8 Core GPU 8GB 256GB SSD Midnight,"R 25,999",N/A,N/A
Apple MacBook Pro 14 M3 8 Core CPU and 10 Core GPU 512GB SSD Space Grey,"R 35,999",N/A,N/A
Apple MacBook Air 13 M2 8 Core CPU 8GB RAM 256GB SSD 8 Core GPU Starlight,"R 21,999",N/A,N/A
Apple MacBook Air 15 M3 8 Core CPU and 10 Core GPU 256GB SSD Midnight,"R 29,999",N/A,N/A
Apple MacBook Air 13 M2 8 Core CPU 8GB RAM 256GB SSD 8 Core GPU Space Grey,"R 21,999",N/A,N/A
Apple MacBook Air 13 M2 8 Core CPU 8GB RAM 256GB SSD 8 Core GPU Midnight,"R 21,999",N/A,N/A
Apple MacBook Air 13 M2 8 Core CPU 8GB RAM 512GB SSD 10 Core GPU Silver,"Special Price R 26,999","Regular Price R 28,999",N/A
Apple MacBook Air 13 M2 8 Core CPU 8GB RAM 512GB SSD 10 Core GPU Midnight,"Special Price R 26,999","Regular Price R 28,999",N/A
Apple MacBook Pro 16 M3 Pro 12 Core CPU and 18 Core GPU 512GB SB,"R 55,999",N/A,N/A
Apple MacBook Air 13 M2 8 Core CPU 8GB RAM 256GB SSD 8 Core GPU Silver,"R 21,999",N/A,N/A
Apple MacBook Air 13 M3 8 Core CPU and 10 Core GPU 8GB 512GB SSD Midnight,"R 29,999",N/A,N/A
Apple MacBook Air 13 M3 8 Core and 8 Core GPU 8GB 256GB SSD Space Grey,"R 25,999",N/A,N/A
Apple MacBook Air 13 M2 8 Core CPU 8GB RAM 512GB SSD 10 Core GPU Space Grey,"Special Price R 26,999","Regular Price R 28,999",N/A
Apple MacBook Air 13 M3 8 Core CPU and 10 Core GPU 8GB Silver,"R 29,999",N/A,N/A
MacBook Air 13 M3 10 Core GPU 512GB Starlight,"R 29,999",N/A,N/A
Apple MacBook Air 15 M3 8 Core CPU and 10 Core GPU 256GB SSD Silver,"R 29,999",N/A,N/A
Apple MacBook Air 13 M2 8 Core CPU 8GB RAM 512GB SSD 10 Core GPU Starlight,"Special Price R 26,999","Regular Price R 28,999",N/A
Apple MacBook Air 13 M3 8 Core CPU and 8 Core GPU 8GB 256GB SSD Starlight,"R 25,999",N/A,N/A
Apple MacBook Air 15 M3 8 Core CPU and 10 Core GPU 256GB SSD Space Grey,"R 29,999",N/A,N/A
Apple MacBook Air 15 M3 8 Core CPU and 10 Core GPU 512GB SSD Midnight,"R 32,999",N/A,N/A
Apple MacBook Pro 14 M3 8 Core CPU and 10 Core GPU 512GB SSD Silver,"R 35,999",N/A,N/A
Apple MacBook Pro 16 M3 Pro 12 Core CPU and 18 Core GPU 512GB B,"R 64,999",N/A,N/A
Apple MacBook Air 15 M3 8 Core CPU and 10 Core GPU 512GB SSD Space Grey,"R 32,999",N/A,N/A
Apple MacBook Air 15 M3 8 Core CPU and 10Core GPU 256GB SSD Starlight,"R 29,999",N/A,N/A
Apple MacBook Air 13 M3 8 Core CPU and 10 8GB 512GB SSD Space Grey,"R 29,999",N/A,N/A
Apple MacBook Air 13 M3 8 Core CPU and 8 Core GPU 8GB 256GB SSD Silver,"R 25,999",N/A,N/A
Apple MacBook Pro 14 M3 Core CPU and 10 Core GPU 16GB Space Grey,"R 44,999",N/A,N/A
Apple MacBook Air 15 M3 8 Core CPU and 10 Core GPU 16GB 512GB SSD Midnight,"R 37,999",N/A,N/A
Apple MacBook Air 15 M3 8Core CPU and 10 Core GPU 16GB 512GB SSD Space Grey,"R 37,999",N/A,N/A
Apple Watch SE GPS 40mm S LIGHT AL Case S LIGHT Sport Band SM,"R 6,549",N/A,N/A
Apple Watch SE GPS 40mm M NIGHT AL Case M NIGHT Sport Band SM,"R 6,549",N/A,N/A
Apple Watch SE GPS 44mm M NIGHT AL Case M NIGHT Sport Band ML,"R 7,349",N/A,N/A
Apple Watch S9 GPS 41mm Starlight Aluminium Case Starlight Sport Band S/M,"R 10,499",N/A,N/A
Apple Watch SE 40mm,N/A,N/A,N/A
Apple Watch S9 GPS 41mm Pink Aluminium Case with Lt Pink Sport Band S/M,"R 10,499",N/A,N/A
Apple Watch Series 7 Cellular 41mm Midnight Aluminium Case with Midnight SB,"R 10,999",N/A,N/A
Apple Watch Series 3 GPS 38mm Space Grey Aluminium Case - Bl Band,"R 4,649",N/A,N/A
Apple Watch Series 7 Cellular 41mm Blue Aluminium Case with Abyss Blue SB,"R 10,999",N/A,N/A
Apple Watch Magnetic Fast Charger to USBC Cable 1m,R 799,N/A,N/A
Apple Watch SE GPS 40mm Space Grey Aluminium Case with Midnight Sport Band,"R 6,499",N/A,N/A
Apple Watch SE GPS CELLULAR 40mm S LIGHT AL Case S LIGHT Sport Band SM,"R 7,849",N/A,N/A
Apple Watch S9 GPS 41mm Midnight Alu Case with Midnight SBand SM,"R 10,499",N/A,N/A
Apple Watch S9 GPS 41mm,N/A,N/A,N/A
Apple Watch SE GPS 40mm Starlight Aluminium Case Only Demo,"R 8,861",N/A,N/A
Body Glove Apple Watch 8 7 45mm PC Case With Screenguard Black,R 249,N/A,N/A
Apple Watch SE GPS 40mm M NIGHT AL Case M NIGHT S LOOP,"R 6,549",N/A,N/A
Body Glove Apple Watch 8 7 41mm PC Case With Screenguard Black,R 249,N/A,N/A
Apple Watch S9 GPS + Cellular 41mm with Sport Band S/M,N/A,N/A,N/A
Apple Watch SE GPS CELLULAR 40mm M NIGHT AL Case M NIGHT Sport Band SM,"R 7,849",N/A,N/A
Apple Watch S9 GPS Cell 41mm Pink Alu Case Lt Pink Sports Band SM,"R 13,149",N/A,N/A
Apple Watch Ultra2 Cell 49mm Titanium Case Blue/Black Trail Loop ML,"R 21,099",N/A,N/A
Apple Watch Ultra 2 Cellular 49mm Titanium Case Blue Alpine Loop Med,"R 20,999",N/A,N/A
Apple Watch Series 9 GPS 45mm Aluminium Case,N/A,N/A,N/A
Apple Watch S9 GPS 45mm Midnight Aluminium Case Midnight Sport Band M/L,"R 11,299",N/A,N/A
Apple Watch S9 GPS 41mm Silver Alu Case with Storm Blue Sport Band - S/M,"R 10,499",N/A,N/A
Apple Watch S9 GPS 45mm Starlight Aluminium Case Starlight Sport Band M/L,"R 11,299",N/A,N/A
Apple Watch Ultra 2 Cellular 49mm Titanium Case with Trail Loop ML,N/A,N/A,N/A
Apple Watch Ultra 2 Cellular 49mm Titanium Case with Alpine Loop,N/A,N/A,N/A
Apple Watch S9 GPS Cell 45mm Midnight Alu Case Midnight SBand ML,"R 13,899",N/A,N/A
Apple Watch S9 GPS 45mm Silver Aluminium Case Storm Blue Sport Band M/L,"R 11,299",N/A,N/A
Apple Watch S9 GPS Cell 41mm Silver Alum Case Storm Blue Sport Band S/M,"R 13,149",N/A,N/A
Apple Watch Ultra 2 49mm GPS + Cell Titanium,N/A,N/A,N/A
Apple Watch Ultra 2 Cell 49mm Blk Titanium Case with Black Ocean Band,"R 19,899",N/A,N/A
Apple Watch Ultra 2 Cell 49mm Blk Titanium with Black Trail Loop S/M,"R 19,899",N/A,N/A
